"","AA","AB","AC","AD","AO","AP","AQ","AR","AS","AT","AV","AX","AY","AZ","BA","BB","BC","BD","BE","BF","BG","BH","BI","BK","BM","BN","BO","BR","CH","H2","LG","MC"
"AA",NA,0.044759281278436,0.0297549055018208,0.0975438897661504,0.113398176423892,0.0719719389700005,0.148618651000426,0.0618072961952641,0.0658498607810033,0.0741329381202585,0.075270623554411,0.185256987731883,0.0700645015980266,0.0270921487823453,0.073322038096528,0.0960695371133755,0.062774681124396,0.0660763846619877,0.0877425249323463,0.098182881946876,0.115969597690661,0.108465130660324,0.0615105107517187,0.0205177853804985,0.0577695452402867,0.0692634066296153,0.0649846836164875,0.055370415183035,0.0338399931507748,0.144549146712688,0.119332640057341,0.155479511860633
"AB",0.044759281278436,NA,0.0232697879127384,0.100994393991084,0.110404096282518,0.0753941155313619,0.153853692440152,0.0695036079177579,0.0720079115973085,0.0820844827066255,0.0733455271893848,0.181521724792405,0.0763444613471471,0.0469958257676448,0.0752439397774183,0.104858068373628,0.0680413928917578,0.0709841078765595,0.080837091559798,0.0860322181650042,0.117798441050682,0.101262808901164,0.0633704546927523,0.024928082470564,0.0606445980771929,0.0744827814507546,0.0641202936713768,0.0542955372024404,0.0375530262709141,0.143205549234088,0.12199789360985,0.154218603563355
"AC",0.0297549055018208,0.0232697879127384,NA,0.0890088315042231,0.0951566502625576,0.0628480025533246,0.141953178804542,0.0655690089820763,0.0686864426480097,0.0691340169014554,0.067413914164919,0.180806234767484,0.0655604825802312,0.0261687895891081,0.0598708439825288,0.0909649948121665,0.0522297752002352,0.05182546361555,0.0761822834915783,0.0846175656935497,0.110890778306704,0.098358651427603,0.0463007561343442,0.0223410935432985,0.0469703566757367,0.0573533756800632,0.0537831573843927,0.0401511060536615,0.0366255501073206,0.148246571824177,0.120670086102135,0.155176148167665
"AD",0.0975438897661504,0.100994393991084,0.0890088315042231,NA,0.129343258647113,0.0879955931087462,0.116294435321272,0.131631201643499,0.132711531767188,0.145517317617222,0.0803837862535883,0.248179667976439,0.0890351743868042,0.103132486770515,0.0657938841596901,0.0232048417175957,0.0508964467532516,0.0508873484771899,0.132971592869178,0.147606674933394,0.157508699551793,0.153974812063057,0.101616527364773,0.0423521698363563,0.0593167334824972,0.0644767741465792,0.0844628274206632,0.0558183091028084,0.0745676358627764,0.195484343673242,0.171948890953074,0.198475750884261
"AO",0.113398176423892,0.110404096282518,0.0951566502625576,0.129343258647113,NA,0.0738261567165022,0.185770765401136,0.149094273091364,0.148213287220304,0.158215016108748,0.0665468958105344,0.265786220894405,0.081074937646962,0.119864922484813,0.0954730297664321,0.129101059638066,0.0939081289262253,0.0865434828614462,0.141636809319563,0.153996788929852,0.171968543497943,0.160106678574365,0.108398627017742,0.0500789784455092,0.089717874629133,0.0953089908100983,0.0871121130984598,0.078481488402986,0.0859490701711965,0.21494516132995,0.182006332340716,0.225320345187769
"AP",0.0719719389700005,0.0753941155313619,0.0628480025533246,0.0879955931087462,0.0738261567165022,NA,0.142684176878334,0.107686931696704,0.106434302502556,0.118014563289241,0.0304773908742471,0.224580724514128,0.0376077619698324,0.0735907642486986,0.0629709730033398,0.0879317063595768,0.0568085070204195,0.047667692983273,0.109425332145533,0.121638644532169,0.142788321401849,0.12630521183236,0.0751087688101232,0.0414352781520654,0.0551005449667991,0.0610107409240134,0.0523265923435485,0.049057055840014,0.060830783020673,0.175109536202481,0.149504479886036,0.182647029066462
"AQ",0.148618651000426,0.153853692440152,0.141953178804542,0.116294435321272,0.185770765401136,0.142684176878334,NA,0.186226125268612,0.187134882169077,0.201247339760155,0.134106310926857,0.299298334196155,0.134320645821259,0.158779038587533,0.13102227497946,0.112920405270629,0.11406809154871,0.119253835217686,0.178606424118135,0.19273160436087,0.207382274182,0.201120607883196,0.1530547749881,0.0713286822154731,0.113529647806334,0.122937587931794,0.129115338126108,0.109920763563921,0.113664780179503,0.243259441671391,0.216547262950018,0.242113919376089
"AR",0.0618072961952641,0.0695036079177579,0.0655690089820763,0.131631201643499,0.149094273091364,0.107686931696704,0.186226125268612,NA,0.0139565428008431,0.0545632233977171,0.105973823672174,0.159346783015997,0.105112751794657,0.0683089096540444,0.110762597689906,0.131672772175596,0.0961702211076423,0.0994077522927697,0.0943934674753655,0.0903855623265658,0.112557938859533,0.121368718274782,0.0934730869101582,0.0376526181975203,0.0909524908343067,0.0967348607787558,0.0916666134556445,0.0808929506545402,0.0109296779854889,0.125271907955224,0.106154149738595,0.130637023372337
"AS",0.0658498607810033,0.0720079115973085,0.0686864426480097,0.132711531767188,0.148213287220304,0.106434302502556,0.187134882169077,0.0139565428008431,NA,0.0634608100013981,0.109174152383593,0.170812939850156,0.108067759913106,0.0674420183984123,0.114928291351527,0.133116385901127,0.0959855343340325,0.101483072191619,0.0950134554677559,0.100542148290988,0.121784770828995,0.124769546304284,0.093110620115791,0.031478197133298,0.090852564429121,0.0976945649617856,0.0958709096529935,0.082968462097912,0.0191279015841683,0.138479093499913,0.114691071297371,0.152374499921008
"AT",0.0741329381202585,0.0820844827066255,0.0691340169014554,0.145517317617222,0.158215016108748,0.118014563289241,0.201247339760155,0.0545632233977171,0.0634608100013981,NA,0.116940619087389,0.180013594435096,0.119436054114661,0.0772648323872573,0.119487011494196,0.141421962774301,0.103783084019718,0.109166149224563,0.0993518789448509,0.10255104342707,0.127221532383568,0.135200145870433,0.107666113045015,0.0355934834805165,0.0998726160263285,0.110530610115232,0.109967466011141,0.0889464861700922,0.0270472862772697,0.1501552525409,0.118546458868183,0.156260613279089
"AV",0.075270623554411,0.0733455271893848,0.067413914164919,0.0803837862535883,0.0665468958105344,0.0304773908742471,0.134106310926857,0.105973823672174,0.109174152383593,0.116940619087389,NA,0.217937086133929,0.0355537641512217,0.0803071351195503,0.0607406174911592,0.0810886408480263,0.0585145294148861,0.0469340078513538,0.109560268187716,0.114659268449087,0.131699406728128,0.124325904089671,0.0735385668902012,0.0356716389777074,0.0563707843313514,0.062926621317143,0.0496882635192045,0.0495391435035231,0.0628592039702298,0.1746137989399,0.161429051774687,0.185988826582516
"AX",0.185256987731883,0.181521724792405,0.180806234767484,0.248179667976439,0.265786220894405,0.224580724514128,0.299298334196155,0.159346783015997,0.170812939850156,0.180013594435096,0.217937086133929,NA,0.220481073558434,0.186461871814882,0.23274248884595,0.242306375580698,0.203160926666081,0.207751770357466,0.157857489582922,0.171549719513137,0.183131254124893,0.218538782391657,0.194275433358428,0.0879436973220107,0.193720743575607,0.207652893433266,0.189438132420475,0.186939839069405,0.0953168198255485,0.133975942433666,0.139100401611672,0.148725256622382
"AY",0.0700645015980266,0.0763444613471471,0.0655604825802312,0.0890351743868042,0.081074937646962,0.0376077619698324,0.134320645821259,0.105112751794657,0.108067759913106,0.119436054114661,0.0355537641512217,0.220481073558434,NA,0.071388313973725,0.0635137706263216,0.0842754852754539,0.0550877693012841,0.0488286680070911,0.111190859546539,0.116863178023293,0.15088327555272,0.127053634721654,0.0797450354556134,0.043680792006399,0.0535138919814267,0.060330709272678,0.0521756228708075,0.0496878039655521,0.0556235646819641,0.166516162825279,0.149601463395472,0.173101883061537
"AZ",0.0270921487823453,0.0469958257676448,0.0261687895891081,0.103132486770515,0.119864922484813,0.0735907642486986,0.158779038587533,0.0683089096540444,0.0674420183984123,0.0772648323872573,0.0803071351195503,0.186461871814882,0.071388313973725,NA,0.0765030678025866,0.103428575657157,0.066512500668293,0.0702692373205123,0.0962822086033181,0.0981699460612702,0.121901394080436,0.110593743279131,0.065862103775257,0.0243993919562354,0.0621668510209602,0.0774358552250714,0.0634911502768892,0.0591396304317306,0.0320660737308321,0.143953928877488,0.12535680819065,0.15141385595029
"BA",0.073322038096528,0.0752439397774183,0.0598708439825288,0.0657938841596901,0.0954730297664321,0.0629709730033398,0.13102227497946,0.110762597689906,0.114928291351527,0.119487011494196,0.0607406174911592,0.23274248884595,0.0635137706263216,0.0765030678025866,NA,0.0650486195711788,0.0189398443587034,0.0271992485340542,0.109332157801397,0.120614617371417,0.141752046362015,0.126843326817784,0.0751856411116778,0.0355802761671515,0.0382260757943057,0.0422937119623911,0.0634965847575075,0.0278188986814733,0.0608095676491376,0.171418263618052,0.149914379888266,0.175046086639439
"BB",0.0960695371133755,0.104858068373628,0.0909649948121665,0.0232048417175957,0.129101059638066,0.0879317063595768,0.112920405270629,0.131672772175596,0.133116385901127,0.141421962774301,0.0810886408480263,0.242306375580698,0.0842754852754539,0.103428575657157,0.0650486195711788,NA,0.0443033124321492,0.0484197916512515,0.12786895206266,0.141201466848045,0.149277430683536,0.14666064004227,0.103655746313613,0.0475586285780082,0.0591375119867897,0.0640680332624104,0.0832035280876437,0.0584307160183914,0.0721016490573504,0.185355850541631,0.166353337560917,0.186725670848986
"BC",0.062774681124396,0.0680413928917578,0.0522297752002352,0.0508964467532516,0.0939081289262253,0.0568085070204195,0.11406809154871,0.0961702211076423,0.0959855343340325,0.103783084019718,0.0585145294148861,0.203160926666081,0.0550877693012841,0.066512500668293,0.0189398443587034,0.0443033124321492,NA,0.0253776734599583,0.098458967788592,0.112452312955852,0.126272347189846,0.112917755717139,0.0710671153548454,0.0330455421200257,0.0318601445657509,0.0356830124795779,0.0590162538621418,0.0251663928587097,0.0539002134597231,0.156010569638721,0.1302925677072,0.153391543794225
"BD",0.0660763846619877,0.0709841078765595,0.05182546361555,0.0508873484771899,0.0865434828614462,0.047667692983273,0.119253835217686,0.0994077522927697,0.101483072191619,0.109166149224563,0.0469340078513538,0.207751770357466,0.0488286680070911,0.0702692373205123,0.0271992485340542,0.0484197916512515,0.0253776734599583,NA,0.0988301619252193,0.116471649411674,0.131359572796556,0.115706815027244,0.0641342398899928,0.034977713969753,0.0252777753489287,0.0311925677330695,0.052312303941156,0.0179472099911439,0.0538421416896403,0.161881012237517,0.142286631952621,0.163765653237177
"BE",0.0877425249323463,0.080837091559798,0.0761822834915783,0.132971592869178,0.141636809319563,0.109425332145533,0.178606424118135,0.0943934674753655,0.0950134554677559,0.0993518789448509,0.109560268187716,0.157857489582922,0.111190859546539,0.0962822086033181,0.109332157801397,0.12786895206266,0.098458967788592,0.0988301619252193,NA,0.100770400644207,0.104072575345606,0.0854902894021214,0.104501814372122,0.0471432797411536,0.0904114122786505,0.100781418570421,0.0942049906215234,0.0831484207331059,0.0509615452491735,0.137610303994303,0.103015018391273,0.14265378679738
"BF",0.098182881946876,0.0860322181650042,0.0846175656935497,0.147606674933394,0.153996788929852,0.121638644532169,0.19273160436087,0.0903855623265658,0.100542148290988,0.10255104342707,0.114659268449087,0.171549719513137,0.116863178023293,0.0981699460612702,0.120614617371417,0.141201466848045,0.112452312955852,0.116471649411674,0.100770400644207,NA,0.128828697744467,0.136525071036245,0.108673094745406,0.0466583050707642,0.101939269605625,0.118831099439324,0.106141521358514,0.0979894373474403,0.0536558282114632,0.140813103834818,0.122359718118573,0.156138560543128
"BG",0.115969597690661,0.117798441050682,0.110890778306704,0.157508699551793,0.171968543497943,0.142788321401849,0.207382274182,0.112557938859533,0.121784770828995,0.127221532383568,0.131699406728128,0.183131254124893,0.15088327555272,0.121901394080436,0.141752046362015,0.149277430683536,0.126272347189846,0.131359572796556,0.104072575345606,0.128828697744467,NA,0.0988424749106413,0.126210499904406,0.0618280244048447,0.118180802447795,0.122022214962544,0.125628952826476,0.118358590608544,0.0758770182749556,0.168317631711274,0.126487116641545,0.162584365947982
"BH",0.108465130660324,0.101262808901164,0.098358651427603,0.153974812063057,0.160106678574365,0.12630521183236,0.201120607883196,0.121368718274782,0.124769546304284,0.135200145870433,0.124325904089671,0.218538782391657,0.127053634721654,0.110593743279131,0.126843326817784,0.14666064004227,0.112917755717139,0.115706815027244,0.0854902894021214,0.136525071036245,0.0988424749106413,NA,0.113586351032755,0.0460750153988307,0.105873347009459,0.119258014897302,0.104760535374788,0.0968294793755393,0.0692641693395074,0.179467823837365,0.152662492586408,0.182833613243826
"BI",0.0615105107517187,0.0633704546927523,0.0463007561343442,0.101616527364773,0.108398627017742,0.0751087688101232,0.1530547749881,0.0934730869101582,0.093110620115791,0.107666113045015,0.0735385668902012,0.194275433358428,0.0797450354556134,0.065862103775257,0.0751856411116778,0.103655746313613,0.0710671153548454,0.0641342398899928,0.104501814372122,0.108673094745406,0.126210499904406,0.113586351032755,NA,0.0331299300294589,0.0581289766210698,0.0683738279852757,0.0615648223803936,0.0568588246390377,0.0470148623502016,0.144682943693324,0.1272303483085,0.154645583034272
"BK",0.0205177853804985,0.024928082470564,0.0223410935432985,0.0423521698363563,0.0500789784455092,0.0414352781520654,0.0713286822154731,0.0376526181975203,0.031478197133298,0.0355934834805165,0.0356716389777074,0.0879436973220107,0.043680792006399,0.0243993919562354,0.0355802761671515,0.0475586285780082,0.0330455421200257,0.034977713969753,0.0471432797411536,0.0466583050707642,0.0618280244048447,0.0460750153988307,0.0331299300294589,NA,0.0332829169185702,0.0345074991944573,0.0402781858376715,0.0280297364806506,0.0303719922651717,0.0725740441955402,0.0576894880563836,0.0668136950775829
"BM",0.0577695452402867,0.0606445980771929,0.0469703566757367,0.0593167334824972,0.089717874629133,0.0551005449667991,0.113529647806334,0.0909524908343067,0.090852564429121,0.0998726160263285,0.0563707843313514,0.193720743575607,0.0535138919814267,0.0621668510209602,0.0382260757943057,0.0591375119867897,0.0318601445657509,0.0252777753489287,0.0904114122786505,0.101939269605625,0.118180802447795,0.105873347009459,0.0581289766210698,0.0332829169185702,NA,0.023189025356409,0.0659850805052046,0.0214860892851993,0.0619364482716844,0.153308472378744,0.146608872127661,0.153877547657876
"BN",0.0692634066296153,0.0744827814507546,0.0573533756800632,0.0644767741465792,0.0953089908100983,0.0610107409240134,0.122937587931794,0.0967348607787558,0.0976945649617856,0.110530610115232,0.062926621317143,0.207652893433266,0.060330709272678,0.0774358552250714,0.0422937119623911,0.0640680332624104,0.0356830124795779,0.0311925677330695,0.100781418570421,0.118831099439324,0.122022214962544,0.119258014897302,0.0683738279852757,0.0345074991944573,0.023189025356409,NA,0.0640963870116289,0.0237158707266347,0.0578252245118037,0.160236443323611,0.145485749969689,0.168361416662708
"BO",0.0649846836164875,0.0641202936713768,0.0537831573843927,0.0844628274206632,0.0871121130984598,0.0523265923435485,0.129115338126108,0.0916666134556445,0.0958709096529935,0.109967466011141,0.0496882635192045,0.189438132420475,0.0521756228708075,0.0634911502768892,0.0634965847575075,0.0832035280876437,0.0590162538621418,0.052312303941156,0.0942049906215234,0.106141521358514,0.125628952826476,0.104760535374788,0.0615648223803936,0.0402781858376715,0.0659850805052046,0.0640963870116289,NA,0.0502259238645707,0.0702023508056997,0.158996437004287,0.159027113510863,0.166410692789307
