pop1,pop2,fst,distance_km,tave_prism_diff,ppt_spring_prism_diff
AB,AA,0.044759281,71.31691475,0.501432665,17.25646551
AC,AA,0.029754906,51.67416646,0.433524355,10.9025
AD,AA,0.09754389,259.0564555,2.502578796,0.77646552
AO,AA,0.113398176,220.177529,0.505444126,6.38120689
AP,AA,0.071971939,206.8338736,0.378510028,3.78612069
AQ,AA,0.148618651,280.3114261,1.863896848,6.37862069
AR,AA,0.061807296,86.37144883,1.06017192,21.61232758
AS,AA,0.065849861,94.98644114,1.126361031,25.00922413
AT,AA,0.074132938,55.56092118,0.079942693,9.32146551
AV,AA,0.075270624,220.3516439,1.559312321,11.52103448
AX,AA,0.185256988,161.806631,0.11747851,16.09836207
AY,AA,0.070064502,207.0094152,2.978510028,15.06232758
AZ,AA,0.027092149,25.05905684,1.291404011,16.6750862
BA,AA,0.073322038,232.0823858,3.040687679,4.29163793
BB,AA,0.096069537,250.2709632,3.573638968,4.64551724
BC,AA,0.062774681,229.9622801,3.818911175,5.99198276
BD,AA,0.066076385,230.4491055,2.026934097,9.71827586
BE,AA,0.087742525,221.5468589,3.210315186,10.80724138
BF,AA,0.098182882,118.8362339,1.846418338,27.0925
BG,AA,0.115969598,266.1886149,3.375358166,19.77215517
BH,AA,0.108465131,254.3406077,2.199713467,14.835
BI,AA,0.061510511,179.2643995,2.092550143,13.55336207
BK,AA,0.020517785,196.4230666,1.908309455,13.03741379
BM,AA,0.057769545,207.8177545,2.690544412,0.19017241
BN,AA,0.069263407,206.7076324,2.634097421,0.58172413
BO,AA,0.064984684,212.2483531,1.319197708,16.43
BR,AA,0.055370415,200.8637878,2.076217765,0.09043104
CH,AA,0.033839993,88.79029298,0.995415473,15.46853448
H2,AA,0.144549147,386.8693802,1.466762177,7.9199138
LG,AA,0.11933264,414.9962858,0.489971347,7.31931035
MC,AA,0.155479512,389.6255321,1.031232092,6.7399138
AC,AB,0.023269788,20.91747002,0.06790831,6.35396551
AD,AB,0.100994394,245.1372741,2.001146131,18.03293103
AO,AB,0.110404096,193.1364899,0.004011461,10.87525862
AP,AB,0.075394116,181.5055144,0.122922637,13.47034482
AQ,AB,0.153853692,273.7186899,1.362464183,23.6350862
AR,AB,0.069503608,153.7724626,0.558739255,4.35586207
AS,AB,0.072007912,163.8292499,0.624928366,7.75275862
AT,AB,0.082084483,86.29551538,0.421489972,7.935
AV,AB,0.073345527,194.3091782,1.057879656,5.73543103
AX,AB,0.181521725,231.6959471,0.383954155,1.15810344
AY,AB,0.076344461,185.613605,2.477077363,2.19413793
AZ,AB,0.046995826,52.74758934,0.789971346,0.58137931
BA,AB,0.07524394,217.1288685,2.539255014,12.96482758
