popcode,dist_to_edge
AA,239.0864322
AB,178.3548417
AP,41.9690341
AT,214.8080972
AV,28.85028085
BA,32.26156113
BF,143.2136077
BH,7.751575294
BI,73.23924659
BM,69.45666368
BR,67.55551125
CH,256.4759244
H2,66.20984177
LG,96.75007971
MC,64.89873587
AC,198.7938865
AD,10.55298398
AO,28.00873122
AQ,0.430310067
AR,265.7865074
AS,274.676424
AX,292.6431807
AY,45.36439909
AZ,230.5515101
BB,18.84533863
BC,36.74427877
BD,25.48018983
BE,40.72852806
BG,0.248378694
BK,69.00686352
BN,66.96124677
BO,27.22665355
