popcode,fig_name,tave_5180_sep_jul,ppt_mm_5180_apr_jul,cluster,lat,long,elev
BB,D1,4.389971347,37.69422414,north,48.97541,-118.98999,1211
BG,D10,4.588252149,52.82086207,east,46.5377,-113.88501,1424
AR,D11,6.903438395,54.66103448,central,46.28359,-117.59603,1457
AS,D12,6.837249284,58.05793103,central,46.2353,-117.74215,1022
AX,D13,7.846131805,49.14706897,central,45.73695,-118.25481,649
BD,D2,5.936676218,42.76698276,north,48.93748,-118.51278,911
BC,D3,4.14469914,39.04068966,north,48.82554,-118.83031,1603
AY,D4,4.985100287,48.11103448,north,48.75923,-118.33177,1115
BN,D5,5.329512894,33.63043103,north,48.54082,-118.90917,1126
BK,D6,6.05530086,46.08612069,east,47.44871,-114.77457,1103
AC,D7,7.53008596,43.9512069,central,47.34232,-116.78762,801
AZ,D8,6.672206304,49.7237931,central,47.08619,-116.97562,1186
BE,D9,4.753295129,43.85594828,east,46.80494,-114.40634,1201
AQ,F1,6.099713467,26.67008621,north,49.04673,-119.5574,842
AD,F2,5.461031519,32.27224138,north,49.04444,-119.04851,866
BO,P1,6.644412607,49.4787069,north,48.93115,-117.59147,665
AO,P2,7.458166189,39.42991379,north,48.91683,-118.20312,478
AV,P3,6.404297994,44.56974138,north,48.90914,-118.24504,679
BA,P4,4.922922636,37.34034483,north,48.86835,-118.77496,955
AP,P5,7.585100287,36.83482759,north,48.79455,-118.18357,681
BR,P6,5.88739255,32.95827586,north,48.55283,-118.74457,696
BM,P7,5.273065903,33.23887931,north,48.50193,-119.00981,949
BI,P8,5.871060172,46.60206897,NA,48.30882,-115.83709,963
AB,P9,7.46217765,50.30517241,central,47.51329,-116.6719,691
BF,P10,6.117191977,60.1412069,NA,47.24495,-115.76066,788
AA,P11,7.963610315,33.0487069,central,47.0326,-117.29601,1068
BH,P12,5.763896848,47.8837069,east,46.82857,-113.96926,1097
AT,P13,7.883667622,42.37017241,central,46.73745,-116.70773,768
CH,P14,6.968194842,48.51724138,central,46.24479,-117.48715,1445
MC,P15,6.932378223,26.3087931,southwest,44.46775,-120.71079,1128
H2,P16,6.496848138,25.1287931,southwest,44.38361,-120.52029,1134
LG,P17,8.453581662,25.72939655,southwest,43.29848,-117.27058,1043
