"pop","prop"
"AA",0.879499217527386
"AB",0.919014084507042
"AC",0.888218198077353
"AD",0.89229823384753
"AO",0.87835345405768
"AP",0.842662032802878
"AQ",0.870333109769729
"AR",0.773669796557121
"AS",0.870389000670691
"AT",0.848367985691929
"AV",0.778976891652948
"AX",0.865157612340711
"AY",0.787482470581062
"AZ",0.900821596244131
"BA",0.878479208584842
"BB",0.806198300916611
"BC",0.759529398613906
"BD",0.847417840375587
"BE",0.654761904761905
"BF",0.69592555331992
"BG",0.614185110663984
"BH",0.719735077129443
"BI",0.699418734630002
"BK",0.232455338089141
"BM",0.657444668008048
"BN",0.7660406885759
"BO",0.653984513139443
"BR",0.68033199195171
"CH",0.372599231754161
"H2",0.644561815336463
"LG",0.5059244355019
"MC",0.686543503444912
