value,rep,sp_nsp,layers
-56.70137,1,nsp,1
-15.17172,1,nsp,2
-5.529871,1,nsp,3
-3.919497,1,nsp,4
-3.856744,1,nsp,5
-10.93719,1,sp,1
0,1,sp,2
-1.818278,1,sp,3
-2.643827,1,sp,4
-0.4915139,1,sp,5
-56.03947,2,nsp,1
-15.19517,2,nsp,2
-7.418881,2,nsp,3
-10.93674,2,nsp,4
-3.1327,2,nsp,5
-12.93699,2,sp,1
-2.247417,2,sp,2
-0.4396106,2,sp,3
0,2,sp,4
-0.7549203,2,sp,5
-57.22993,3,nsp,1
-13.48828,3,nsp,2
-8.736828,3,nsp,3
-3.934099,3,nsp,4
-0.8719367,3,nsp,5
-11.20755,3,sp,1
-2.299376,3,sp,2
-4.52534,3,sp,3
-4.41855,3,sp,4
0,3,sp,5
-59.61432,4,nsp,1
-13.75464,4,nsp,2
-6.612876,4,nsp,3
-2.275086,4,nsp,4
-6.972236,4,nsp,5
-8.40501,4,sp,1
-2.909241,4,sp,2
-1.77741,4,sp,3
-0.9320924,4,sp,4
0,4,sp,5
-58.25272,5,nsp,1
-15.34506,5,nsp,2
-5.681713,5,nsp,3
-8.214639,5,nsp,4
-1.003283,5,nsp,5
-10.34012,5,sp,1
-0.2290263,5,sp,2
0,5,sp,3
-0.6091207,5,sp,4
-4.902469,5,sp,5
-62.84554,6,nsp,1
-15.78363,6,nsp,2
-13.8648,6,nsp,3
-11.56085,6,nsp,4
-14.86379,6,nsp,5
-15.39445,6,sp,1
-6.483491,6,sp,2
-10.96975,6,sp,3
0,6,sp,4
-6.745342,6,sp,5
-57.2246,7,nsp,1
-12.99446,7,nsp,2
-8.806472,7,nsp,3
-4.279374,7,nsp,4
-6.359497,7,nsp,5
-8.486485,7,sp,1
-1.612298,7,sp,2
0,7,sp,3
-0.6682923,7,sp,4
-2.190979,7,sp,5
-56.89208,8,nsp,1
-16.82809,8,nsp,2
-6.771302,8,nsp,3
-10.6103,8,nsp,4
-6.439138,8,nsp,5
-11.88627,8,sp,1
-0.597779,8,sp,2
-0.367815,8,sp,3
0,8,sp,4
-6.625839,8,sp,5
-61.96992,9,nsp,1
-14.48049,9,nsp,2
-4.113901,9,nsp,3
-4.3321,9,nsp,4
-3.588859,9,nsp,5
-14.67336,9,sp,1
-4.365551,9,sp,2
-2.640491,9,sp,3
0,9,sp,4
-1.280801,9,sp,5
-61.41035,10,nsp,1
-15.6009,10,nsp,2
-9.106861,10,nsp,3
-10.14596,10,nsp,4
-4.051046,10,nsp,5
-14.85458,10,sp,1
-1.53189,10,sp,2
-1.541746,10,sp,3
-0.2139254,10,sp,4
0,10,sp,5
-59.40043,11,nsp,1
-13.19797,11,nsp,2
-11.93043,11,nsp,3
-6.754604,11,nsp,4
-7.26149,11,nsp,5
-14.44399,11,sp,1
-4.714097,11,sp,2
0,11,sp,3
-2.213639,11,sp,4
-3.193095,11,sp,5
-57.35043,12,nsp,1
-11.69853,12,nsp,2
-6.437123,12,nsp,3
-7.630723,12,nsp,4
-3.809615,12,nsp,5
-10.89639,12,sp,1
-1.266424,12,sp,2
-2.461593,12,sp,3
-0.8890466,12,sp,4
0,12,sp,5
-60.714,13,nsp,1
-11.00874,13,nsp,2
-5.356704,13,nsp,3
-10.11189,13,nsp,4
-9.082855,13,nsp,5
-9.867742,13,sp,1
0,13,sp,2
-2.883266,13,sp,3
-2.977264,13,sp,4
-2.421794,13,sp,5
-56.79348,14,nsp,1
-11.71003,14,nsp,2
-7.311391,14,nsp,3
-5.067082,14,nsp,4
-5.732503,14,nsp,5
-11.93912,14,sp,1
-0.9859805,14,sp,2
-4.24839,14,sp,3
-3.238883,14,sp,4
0,14,sp,5
-76.98188,15,nsp,1
-27.48534,15,nsp,2
-20.09375,15,nsp,3
-21.64144,15,nsp,4
-21.69904,15,nsp,5
-27.8296,15,sp,1
-20.00048,15,sp,2
-19.03936,15,sp,3
-18.52384,15,sp,4
0,15,sp,5
-58.15436,16,nsp,1
-12.69767,16,nsp,2
-7.286105,16,nsp,3
-7.395648,16,nsp,4
-3.802335,16,nsp,5
-11.87052,16,sp,1
-0.7062066,16,sp,2
0,16,sp,3
-2.286517,16,sp,4
-2.827424,16,sp,5
-58.2781,17,nsp,1
-14.35176,17,nsp,2
-10.45396,17,nsp,3
-5.128924,17,nsp,4
-5.268701,17,nsp,5
-13.99063,17,sp,1
-1.587704,17,sp,2
0,17,sp,3
-6.018191,17,sp,4
-3.792969,17,sp,5
-61.78181,18,nsp,1
-13.59377,18,nsp,2
-9.88032,18,nsp,3
-7.769273,18,nsp,4
-6.873118,18,nsp,5
-14.17974,18,sp,1
-3.264605,18,sp,2
-2.110032,18,sp,3
0,18,sp,4
-4.863208,18,sp,5
-57.12189,19,nsp,1
-14.87243,19,nsp,2
-7.340009,19,nsp,3
-11.36209,19,nsp,4
-4.031359,19,nsp,5
-13.36512,19,sp,1
-0.009846787,19,sp,2
-4.407516,19,sp,3
-4.253736,19,sp,4
0,19,sp,5
-59.69698,20,nsp,1
-15.91119,20,nsp,2
-9.478514,20,nsp,3
-6.795953,20,nsp,4
-7.139005,20,nsp,5
-10.4235,20,sp,1
-3.052264,20,sp,2
-2.145427,20,sp,3
0,20,sp,4
-3.115272,20,sp,5
-58.38749,21,nsp,1
-13.98496,21,nsp,2
-8.209682,21,nsp,3
-7.514152,21,nsp,4
-5.244739,21,nsp,5
-12.30429,21,sp,1
0,21,sp,2
-3.755868,21,sp,3
-0.9674236,21,sp,4
-5.056746,21,sp,5
-59.5821,22,nsp,1
-15.77595,22,nsp,2
-12.16489,22,nsp,3
-6.49695,22,nsp,4
-9.045468,22,nsp,5
-12.95237,22,sp,1
-2.860851,22,sp,2
-1.388963,22,sp,3
-3.14512,22,sp,4
0,22,sp,5
-58.89366,23,nsp,1
-15.84463,23,nsp,2
-4.141076,23,nsp,3
-3.352317,23,nsp,4
-6.42283,23,nsp,5
-11.17529,23,sp,1
-0.9739837,23,sp,2
0,23,sp,3
-1.062234,23,sp,4
-3.92111,23,sp,5
-60.60293,24,nsp,1
-15.18055,24,nsp,2
-4.875185,24,nsp,3
-5.7279,24,nsp,4
-3.613762,24,nsp,5
-10.06854,24,sp,1
-1.317979,24,sp,2
-1.415699,24,sp,3
-2.248585,24,sp,4
0,24,sp,5
-56.58423,25,nsp,1
-12.7227,25,nsp,2
-7.052504,25,nsp,3
-4.883413,25,nsp,4
-3.746862,25,nsp,5
-10.22243,25,sp,1
0,25,sp,2
-0.7996981,25,sp,3
-2.433099,25,sp,4
-1.520159,25,sp,5
-61.34678,26,nsp,1
-14.28976,26,nsp,2
-7.755271,26,nsp,3
-4.859805,26,nsp,4
-3.791267,26,nsp,5
-12.2934,26,sp,1
-2.535334,26,sp,2
-1.593684,26,sp,3
-1.252213,26,sp,4
0,26,sp,5
-54.13486,27,nsp,1
-12.76745,27,nsp,2
-3.190615,27,nsp,3
-3.53534,27,nsp,4
-2.265475,27,nsp,5
-12.91857,27,sp,1
0,27,sp,2
-1.470807,27,sp,3
-2.968516,27,sp,4
-2.067454,27,sp,5
-56.23362,28,nsp,1
-14.51266,28,nsp,2
-7.596964,28,nsp,3
-7.041314,28,nsp,4
-3.179991,28,nsp,5
-8.953579,28,sp,1
-0.6490986,28,sp,2
-0.6866313,28,sp,3
-3.335492,28,sp,4
0,28,sp,5
-56.30609,29,nsp,1
-15.50883,29,nsp,2
-5.890255,29,nsp,3
-4.476262,29,nsp,4
-6.570402,29,nsp,5
-9.143339,29,sp,1
-2.95421,29,sp,2
-1.966761,29,sp,3
-4.9139,29,sp,4
0,29,sp,5
-56.7242,30,nsp,1
-12.92983,30,nsp,2
-10.7125,30,nsp,3
-5.312128,30,nsp,4
-2.426069,30,nsp,5
-11.74374,30,sp,1
-2.346408,30,sp,2
0,30,sp,3
-2.331073,30,sp,4
-5.885662,30,sp,5
-60.30159,31,nsp,1
-13.56378,31,nsp,2
-10.85963,31,nsp,3
-8.154412,31,nsp,4
-5.624762,31,nsp,5
-10.77555,31,sp,1
0,31,sp,2
-0.7856826,31,sp,3
-2.282175,31,sp,4
-1.470368,31,sp,5
-59.03735,32,nsp,1
-13.57777,32,nsp,2
-10.56391,32,nsp,3
-9.494753,32,nsp,4
-4.047586,32,nsp,5
-14.09081,32,sp,1
-4.365469,32,sp,2
-2.008561,32,sp,3
0,32,sp,4
-1.540616,32,sp,5
-55.46027,33,nsp,1
-16.07534,33,nsp,2
-13.98841,33,nsp,3
-6.922387,33,nsp,4
-7.773889,33,nsp,5
-13.95386,33,sp,1
-4.040536,33,sp,2
-3.684186,33,sp,3
-1.276538,33,sp,4
0,33,sp,5
-60.63486,34,nsp,1
-19.62948,34,nsp,2
-10.43368,34,nsp,3
-6.475549,34,nsp,4
-10.66639,34,nsp,5
-12.95716,34,sp,1
-5.307328,34,sp,2
0,34,sp,3
-5.091143,34,sp,4
-1.261192,34,sp,5
-54.54557,35,nsp,1
-13.8818,35,nsp,2
-5.743858,35,nsp,3
-4.987738,35,nsp,4
-12.80322,35,nsp,5
-10.54095,35,sp,1
0,35,sp,2
-0.6555465,35,sp,3
-7.285124,35,sp,4
-3.787324,35,sp,5
-57.31446,36,nsp,1
-13.235,36,nsp,2
-10.42336,36,nsp,3
-11.3838,36,nsp,4
-5.987715,36,nsp,5
-13.13734,36,sp,1
-1.934873,36,sp,2
-4.42835,36,sp,3
-6.865594,36,sp,4
0,36,sp,5
-64.25261,37,nsp,1
-17.50994,37,nsp,2
-4.430973,37,nsp,3
-10.41915,37,nsp,4
-6.761186,37,nsp,5
-10.93139,37,sp,1
-2.49823,37,sp,2
0,37,sp,3
-2.05955,37,sp,4
-2.212132,37,sp,5
-57.84538,38,nsp,1
-14.15889,38,nsp,2
-11.48512,38,nsp,3
-4.276758,38,nsp,4
-1.244381,38,nsp,5
-10.54675,38,sp,1
-2.85301,38,sp,2
-0.8907452,38,sp,3
0,38,sp,4
-1.587783,38,sp,5
-61.73263,39,nsp,1
-12.33711,39,nsp,2
-5.417979,39,nsp,3
-9.706445,39,nsp,4
-11.02063,39,nsp,5
-10.91813,39,sp,1
0,39,sp,2
-3.109258,39,sp,3
-4.244704,39,sp,4
-3.582777,39,sp,5
-60.98134,40,nsp,1
-16.03088,40,nsp,2
-7.731495,40,nsp,3
-10.32475,40,nsp,4
-3.752849,40,nsp,5
-13.66579,40,sp,1
-4.391755,40,sp,2
-3.26757,40,sp,3
-4.434829,40,sp,4
0,40,sp,5
-57.33473,41,nsp,1
-13.85924,41,nsp,2
-6.959735,41,nsp,3
-9.491091,41,nsp,4
-5.009968,41,nsp,5
-12.60215,41,sp,1
0,41,sp,2
-2.972508,41,sp,3
-1.831717,41,sp,4
-1.40761,41,sp,5
-56.36358,42,nsp,1
-16.89166,42,nsp,2
-8.839296,42,nsp,3
-6.564511,42,nsp,4
-2.852572,42,nsp,5
-12.19478,42,sp,1
0,42,sp,2
-1.070446,42,sp,3
-2.877678,42,sp,4
-1.203848,42,sp,5
-55.33037,43,nsp,1
-13.40054,43,nsp,2
-7.140624,43,nsp,3
-2.976879,43,nsp,4
-8.423413,43,nsp,5
-15.33868,43,sp,1
0,43,sp,2
-3.741826,43,sp,3
-1.998413,43,sp,4
-4.208823,43,sp,5
-61.62968,44,nsp,1
-16.66151,44,nsp,2
-8.850546,44,nsp,3
-5.823572,44,nsp,4
-10.42142,44,nsp,5
-9.993121,44,sp,1
-4.246845,44,sp,2
-1.403337,44,sp,3
-5.715399,44,sp,4
0,44,sp,5
-56.0273,45,nsp,1
-12.44946,45,nsp,2
-8.349209,45,nsp,3
-2.729642,45,nsp,4
-1.185639,45,nsp,5
-7.602775,45,sp,1
-0.8883326,45,sp,2
0,45,sp,3
-4.14191,45,sp,4
-0.8144096,45,sp,5
-62.94825,46,nsp,1
-13.04225,46,nsp,2
-23.53543,46,nsp,3
-6.148789,46,nsp,4
-8.164136,46,nsp,5
-15.16062,46,sp,1
-7.422051,46,sp,2
-6.143897,46,sp,3
-5.121915,46,sp,4
0,46,sp,5
-56.65869,47,nsp,1
-11.76414,47,nsp,2
-6.449489,47,nsp,3
-5.642542,47,nsp,4
-5.708847,47,nsp,5
-8.358103,47,sp,1
-1.919263,47,sp,2
-1.630104,47,sp,3
0,47,sp,4
-1.167001,47,sp,5
-57.28349,48,nsp,1
-10.79164,48,nsp,2
-5.462534,48,nsp,3
-7.650471,48,nsp,4
-3.218387,48,nsp,5
-11.88793,48,sp,1
-3.531167,48,sp,2
0,48,sp,3
-3.060427,48,sp,4
-1.896214,48,sp,5
-60.34231,49,nsp,1
-18.32702,49,nsp,2
-8.256015,49,nsp,3
-4.741156,49,nsp,4
-4.924253,49,nsp,5
-11.49722,49,sp,1
-2.805332,49,sp,2
-3.819782,49,sp,3
-4.375571,49,sp,4
0,49,sp,5
-57.21012,50,nsp,1
-15.88185,50,nsp,2
-9.200328,50,nsp,3
-11.87002,50,nsp,4
-3.394654,50,nsp,5
-12.8453,50,sp,1
-1.649871,50,sp,2
0,50,sp,3
-2.377953,50,sp,4
-3.929135,50,sp,5
-54.02504,51,nsp,1
-13.49467,51,nsp,2
-9.552574,51,nsp,3
-7.455768,51,nsp,4
-8.41217,51,nsp,5
-12.11024,51,sp,1
-2.085095,51,sp,2
-3.515505,51,sp,3
0,51,sp,4
-3.208798,51,sp,5
-59.33115,52,nsp,1
-13.48948,52,nsp,2
-5.567794,52,nsp,3
-6.498882,52,nsp,4
-6.843171,52,nsp,5
-10.50369,52,sp,1
-4.874489,52,sp,2
0,52,sp,3
-1.767678,52,sp,4
-3.497823,52,sp,5
-56.46397,53,nsp,1
-11.7816,53,nsp,2
-10.21767,53,nsp,3
-3.186255,53,nsp,4
-8.595168,53,nsp,5
-7.982301,53,sp,1
0,53,sp,2
-1.239014,53,sp,3
-0.1338921,53,sp,4
-1.174169,53,sp,5
-56.52955,54,nsp,1
-14.11965,54,nsp,2
-3.808441,54,nsp,3
-5.802115,54,nsp,4
-4.683637,54,nsp,5
-13.80577,54,sp,1
-2.151907,54,sp,2
-2.905592,54,sp,3
0,54,sp,4
-2.381671,54,sp,5
-60.7337,55,nsp,1
-12.39105,55,nsp,2
-9.996415,55,nsp,3
-6.322235,55,nsp,4
0,55,nsp,5
-10.21125,55,sp,1
-2.126121,55,sp,2
-0.5161202,55,sp,3
-0.4998858,55,sp,4
-3.499057,55,sp,5
-62.13374,56,nsp,1
-13.506,56,nsp,2
-9.057536,56,nsp,3
-4.094578,56,nsp,4
-9.818381,56,nsp,5
-12.94366,56,sp,1
-1.995949,56,sp,2
0,56,sp,3
-4.146442,56,sp,4
-7.331939,56,sp,5
-59.02068,57,nsp,1
-10.48991,57,nsp,2
-3.775873,57,nsp,3
-4.485101,57,nsp,4
-1.853748,57,nsp,5
-11.03779,57,sp,1
-1.198032,57,sp,2
-0.5029019,57,sp,3
0,57,sp,4
-4.227752,57,sp,5
-58.90874,58,nsp,1
-15.7616,58,nsp,2
-9.858392,58,nsp,3
-5.864426,58,nsp,4
0,58,nsp,5
-15.7358,58,sp,1
-4.786916,58,sp,2
-7.38792,58,sp,3
-3.293236,58,sp,4
-4.918345,58,sp,5
-55.69447,59,nsp,1
-14.49983,59,nsp,2
-10.33699,59,nsp,3
-11.68026,59,nsp,4
-3.287096,59,nsp,5
